"diam$X"	"R0"	"R10"	"R20"	"R30"	"R40"	"R60"	"R90"
"350"	"YML028W"	33.03	122.41	137.72	156.02	144.56	142.57	103.65
"351"	"YML092C"	3.65	6.53	7.04	7.34	7.92	9.42	5.26
"352"	"YJR009C"	61.55	106.43	93.29	113.28	104.96	136.59	72.19
"353"	"YJR025C"	1.68	3.45	4.14	4.17	3.86	5.77	4.43
"354"	"YJR139C"	7.58	9.01	8.35	9.39	11.09	11.73	10
"355"	"YLR301W"	4.5	6.73	6.63	6.28	6.92	7.94	7.36
"356"	"YGR253C"	3.8	6.38	7.49	7.59	7.54	9.15	5.71
"357"	"YDR368W"	2.24	5.32	6.28	5.94	6.92	6.03	4.57
"358"	"YCR012W"	110.01	192.88	203.87	226.21	267.16	290.33	171.44
"359"	"YKL152C"	122.05	212.51	179.94	177.46	203.85	259.82	161.05
"360"	"YNL160W"	7.51	32.87	58.44	76.05	61.34	36.98	13.92
"361"	"YBR035C"	2.71	5.02	5.19	4.13	4.88	3.78	3.33
"362"	"YGR254W"	41.85	68.45	54.83	61.69	60	88.46	49.08
"363"	"YHR174W"	226.55	357.97	320.39	338.66	309.48	531.41	269.42
"364"	"YMR314W"	2.92	6.44	7.25	6.86	5.57	7.1	4.82
"365"	"YOR362C"	5.28	12.83	14.94	15.47	13.19	14.24	8.58
"366"	"YGR135W"	4.25	8.44	10.68	11.36	9.36	11.93	7.04
"367"	"YBR111C"	3.6	6.99	8.61	9.23	8.98	8.37	5.37
"368"	"YHR163W"	4.22	15.11	15.86	13.34	14.49	14.59	10.76
"369"	"YBR221C"	7.79	10.95	10.57	11.9	13.29	11.73	10.43
"370"	"YER023W"	2.52	3.46	3.25	2.97	3.56	3.44	2.89
"371"	"YMR226C"	3.6	5.84	6.76	6.85	6.53	8.98	6.09
"372"	"YHR008C"	3.35	11.04	9.81	6.94	9.88	11.11	4.71
"373"	"YJR148W"	6.93	11.02	11.73	17.41	24.12	20	14.54
"374"	"YPR103W"	5.91	12.49	14.15	14.65	15.92	16.37	9.67
"375"	"YLR231C"	0.92	1.07	1.07	1.22	1.66	1.84	1.92
"376"	"YBR026C"	1.33	3.07	3.8	4.07	3.13	2.56	1.62
"377"	"YJL167W"	6.64	10	9.79	9.46	9.93	10.94	9.93
"378"	"YHR183W"	10.88	25.53	30.36	23.49	22.38	26.98	42.34
"379"	"YER178W"	9.38	11.87	12.46	14.82	16.79	15.88	13.26
"380"	"YMR099C"	1.74	2.67	2.56	2.54	3.15	3.15	2.63
"381"	"YNL079C"	8.24	12.23	14.34	14.54	13.11	18.28	14.54
"382"	"YFR044C"	6.54	9.78	10.12	12.2	11.95	11.39	9
"383"	"YOL038W"	5.1	9.79	12.05	11.56	12.92	11.81	8.58
"384"	"YEL047C"	1.41	1.73	1.55	1.61	2.07	2.64	1.84
"385"	"YOR007C"	7.42	17.16	20.98	20.83	22.48	23.77	19.44
"386"	"YBR286W"	8.52	12.74	15.36	21.28	23.78	21.58	13.19
"387"	"YLR303W"	14.89	66.07	94.09	102.25	108.08	112.67	59.96
"388"	"YER177W"	28.3	51.72	59.83	60.66	72.14	68.25	44.1
"389"	"YNL071W"	3.86	5.49	6.81	7.25	8.86	7.25	5.73
"390"	"YOL083W"	0.75	2.04	2.51	3.64	3.93	2.32	1.94
"391"	"YCL043C"	10.88	17.68	21.03	34.87	42.34	50.35	36.86
"392"	"YOR117W"	2.51	4.71	5.45	5.6	6.13	6.13	3.93
"393"	"YCR088W"	1.32	1.88	2	2.36	2.75	1.96	1.75
"394"	"YIL041W"	2.79	0	4.17	0	4.03	4.82	0
"395"	"YMR186W"	14.23	36.77	47.52	37.8	42.24	32.23	38.86
"396"	"YNL208W"	4.93	22.16	32	27.1	77.18	84.46	35.76
"397"	"YHR074W"	0.97	1.08	1.14	1.41	1.38	1.31	1.18
"398"	"YLR429W"	1.98	2.26	2.56	2.69	3.11	3.4	3
"399"	"YNL123W"	2.03	1.45	1.71	1.84	2.07	2.68	2.4
"400"	"YEL037C"	1.48	2.3	2.69	2.66	3.29	2.81	2.01
"401"	"YFL010C"	2.18	3.78	3.85	4.49	4.37	4.49	3.72
"402"	"YMR276W"	3.16	5.9	5.5	3.58	6.41	8.94	5.35
"403"	"YKL157W"	2.6	2.49	3.43	4.13	4.31	4.25	3.65
"404"	"YOR027W"	3.09	11.51	14.18	8.79	8.03	7.29	7.7
"405"	"YJL020C"	0.92	1.46	1.7	2.1	2.33	1.19	1.15
"406"	"YFL028C"	2.34	3.17	3.17	2.67	2.8	2.88	2.61
"407"	"YJL214W"	0.33	0.49	0.56	0.65	0.28	0.31	0.29
"408"	"YKR066C"	1.66	4.39	4.07	3.98	2.61	1.75	1.81
"409"	"YIL062C"	3.58	7.84	8.46	7.31	6.73	5.28	3.78
"410"	"YMR105C"	0.82	8.14	14.67	12.17	7.59	1.28	1.44
"411"	"YFR053C"	3.59	42.34	77.92	44.76	26.25	7.49	4.77
"412"	"YNR001C"	2.05	6.09	6.09	5.72	4.78	2.49	1.75
"413"	"YML120C"	0.7	1.7	1.49	1.45	0.87	0.81	0.77
"414"	"YJR125C"	2.84	5.12	3.45	5.19	5.26	2.84	3
"415"	"YNL098C"	3.13	6.08	5.52	6.61	5.44	3.31	2.94
"416"	"YHR037W"	1.33	1.48	1.44	1.97	1.39	1.42	1.17
"417"	"YGR130C"	1.17	2.12	2.78	2.58	2.8	0.98	1.42
"418"	"YBL063W"	0.66	0.8	0.9	0.79	0.8	0.54	0.69
"419"	"YBR136W"	3.2	4.55	4.91	4.84	5.26	2.8	3.09
"420"	"YBL047C"	3.07	4	4.11	4.19	4.4	2.41	2.77
"421"	"YGL040C"	2.4	3.3	3.51	3.61	3.19	3.15	2.38
"422"	"YJL052W"	38.54	64.82	71.92	92.3	80.91	102.42	51.21
"423"	"YGL011C"	8.17	17.03	18.13	18.26	18.01	17.51	11.63
"424"	"YDR174W"	6.67	9.05	10.32	8.86	10.39	9.7	7.15
"425"	"YOR332W"	5.48	8.85	8.55	7.54	7.92	8.31	6.89
"426"	"YGL157W"	2.5	3.95	4.01	4.97	5.43	6.33	4.32
"427"	"YDR148C"	1.04	1.84	1.68	1.84	1.64	1.16	1.09
"428"	"YOR232W"	3.78	5.57	6.05	5.05	4.62	4.75	3.67
"429"	"YGL221C"	2.44	3.27	3.29	3.31	4.05	4.59	3.8
"430"	"YNL045W"	2.09	3.04	4.07	4.61	4.18	3.28	2.82
"431"	"YOL057W"	1.17	1.01	0	1.13	1.58	1.53	1.6
"432"	"YOR151C"	4.28	4.31	4.46	4.25	5.12	4.25	4.28
"433"	"YJR090C"	1.11	1	1.22	1.07	1.12	0.99	0.98
"434"	"YBL007C"	2.06	2.12	2.8	2.95	2.68	1.9	1.96
"435"	"YHL030W"	1.28	1.71	2.46	2.76	3.13	1.97	1.25
"436"	"YJL121C"	2.68	2.15	1.74	1.68	1.64	2.38	3.14
"437"	"YOR251C"	1.29	1.3	1.06	0.97	1.19	1.68	1.68
"438"	"YDR298C"	3.15	5.57	4.59	3.38	3.18	3.5	3.09
"439"	"YKL214C"	0.9	1.04	0.86	0.94	0.72	1.03	0.79
"440"	"YDR418W"	39.74	51.72	25.5	18.67	19.87	28.3	29.09
"441"	"YHR128W"	4.51	3.51	2.21	2.3	3.02	3.79	2.84
"442"	"YPR073C"	1.61	2.33	2.14	2.1	1.62	1.89	2
"443"	"YBR101C"	1.63	4.55	3.77	2.14	2.74	3.11	3.45
"444"	"YML001W"	5.31	8.44	8.62	6.31	7	7.51	6.62
"445"	"YLR192C"	4.31	5.65	5.38	4.53	4.69	5.73	5.31
"446"	"YDR469W"	1.16	1.11	0.93	0.86	1.01	1.11	1.13
"447"	"YPL237W"	6.93	7.74	5.36	4.24	4.45	5.87	5.99
"448"	"YGL067W"	1.26	1.35	1.16	1.14	1.37	1.41	1.31
"449"	"YHR049W"	3.75	5.49	4.74	3.22	3.04	4.98	4.68
"450"	"YGR155W"	7.95	10.48	8.28	7.21	7.95	10.48	8
"451"	"YIL138C"	3.35	3.88	4.01	3.42	3.42	3.33	4.12
"452"	"YHR069C"	1.69	0.91	0.68	0.76	1.05	1.83	1.81
"453"	"YDR035W"	3.16	3.03	2.69	2.57	3.23	4	2.97
"454"	"YML074C"	4.9	2.93	2.7	2.4	3.49	4.06	5.32
"455"	"YBR025C"	9.88	12.86	10.09	7.14	7.24	10.67	11.67
"456"	"YFR006W"	1.61	2.4	2.34	2.24	2.3	1.64	1.69
"457"	"YPR163C"	4.86	3.87	2.37	1.63	2.05	3.44	4.26
"458"	"YPR145W"	8.48	9.22	7.86	6.84	6.99	6.13	8.91
"459"	"YGL043W"	1.55	1.35	1.17	0	1.44	1.51	1.5
"460"	"YIL021W"	2.35	2.52	2.66	2.24	2.48	2.24	2.36
"461"	"YPR033C"	4.94	4.18	2.94	2.52	2.86	4.21	5.22
"462"	"YDR502C"	2.63	4.33	3.42	2.98	2.56	3.47	2.74
"463"	"YLR335W"	2.13	1.66	1.52	1.22	1.6	1.45	1.9
"464"	"YPR180W"	0.8	0.91	0.99	0.93	0.98	0.89	0.92
"465"	"YPL070W"	0.89	1.01	1.11	1.05	0.91	1.09	0.98
"466"	"YKR028W"	1.16	0.79	0.78	0.76	0.89	0.77	0.91
"467"	"YER103W"	2.38	11.56	19.04	11.4	9.79	12.92	10.06
"468"	"YLL029W"	1.03	1.26	1.19	0	1.45	1.22	0
"469"	"YGR240C"	7.41	4.82	4.23	4.23	4.96	7.73	5.28
"470"	"YHR020W"	5.15	2.98	1.44	1.08	1.49	3.19	3.62
"471"	"YDL060W"	2.04	1	1.06	0.57	0.87	1.2	1.63
"472"	"YFR038W"	0.68	0.39	0.36	0.74	0.43	0.51	0.61
"473"	"YDR127W"	3.02	2.54	2.36	2.2	2.24	2.39	2.56
"474"	"YJL076W"	0.9	0.47	0.4	0.42	0.5	0.53	0.78
"475"	"YDL145C"	3.6	3.33	3.57	3.72	3.91	3.45	2.8
"476"	"YDR464W"	1.29	0.88	0.82	0.88	0.86	0.82	1.08
"477"	"YDL171C"	2.09	1.38	1.23	1	1.25	1.15	0.99
"478"	"YOR341W"	2	0.6	0.52	0.74	0.82	1.32	1.41
"479"	"YPL231W"	6.44	4.31	3.75	3.09	3.99	4.75	5.49
"480"	"YDR002W"	12.05	18.39	16.01	11.72	11.48	14.13	14.43
"481"	"YER030W"	3.2	5.06	5.66	5.17	6.23	4.38	4.2
"482"	"YAR053W"	0.45	0.38	0.38	0.43	0.44	0.43	0.42
"483"	"YLR406C"	15.82	14.36	11.91	9.95	8.78	7.91	8.31
"484"	"YDL121C"	1.81	1.9	1.5	1.45	1.21	0	0
"485"	"YBR009C"	15.61	28.33	19.22	12.95	12.33	17.32	19.76
"486"	"YBL001C"	3.48	5.81	5.54	5.2	5.89	5.54	4.23
"487"	"YGR063C"	2.61	3.69	3.26	3.35	2.9	3	2.59
"488"	"YDR328C"	3.97	7.45	6.76	5.81	5.93	5.53	4.85
"489"	"YPR052C"	2.9	3.43	3.47	2.88	3.35	2.94	2.61
"490"	"YIL053W"	17.56	12.33	7.38	10.73	17.08	42.93	20.73
"491"	"YEL034W"	17.12	25.24	20.36	17.48	16.43	15.98	17.48
"492"	"YHR021C"	52.46	47.61	35.09	29.31	30.34	39.21	36.08
"493"	"YER146W"	2.61	3.57	3.28	2.8	2.82	2.5	2.59
"494"	"YNL135C"	13.82	19.41	15.88	14.41	14.81	14.41	12.9
"495"	"YPL211W"	4.13	2.08	0.99	0.83	1.15	2.82	3.57
"496"	"YDR454C"	7.24	9.49	7.76	5.23	5.72	7.76	9.3
"497"	"YDL110C"	1.53	8.32	11.13	7.93	7.87	4.46	2.92
"498"	"YLR179C"	3.32	4.83	4.26	4.35	4.26	5.28	5.51
"499"	"YHR051W"	3.23	6.72	5.46	3.92	3.94	3.03	2.93
"500"	"YPL111W"	1.73	2.24	2.3	1.78	1.42	0.78	1.92
"501"	"YDR045C"	3.33	2.96	2.52	2.09	2.4	3.77	2.9
"502"	"YPL271W"	4.11	8.1	6.09	4.95	4.28	3.78	3.43
"503"	"YNL004W"	1.26	1.26	1.01	1.14	1.23	1.23	1.31
"504"	"YMR042W"	0.59	0.28	0.28	0.55	0.43	0.62	0
"505"	"YGL187C"	4.23	8.76	5.78	3.21	3.3	2.97	3.1
"506"	"YLR271W"	0.69	0.79	1.04	1	1.1	0.7	0.76
"507"	"YNR046W"	1.75	1.19	0.79	0.81	1	1.42	1.59
"508"	"YGR114C"	1.53	1.31	1.21	1.09	1.14	0.92	1.21
"509"	"YIL051C"	12.67	22.36	22.83	22.67	19.33	17.06	11.49
"510"	"YPR062W"	6.15	7.57	5.31	4.59	4.47	5.13	5.24
"511"	"YDL055C"	11.72	14.73	10.78	12.65	17.52	21.86	18.64
"512"	"YMR303C"	11.92	16.4	12.86	13.69	14.88	20.33	12.17
"513"	"YFL014W"	2.83	48.53	247.42	208.05	290.18	208.05	56.92
"514"	"YLR167W"	26.75	46.25	33.16	21.43	16.81	20.27	21.88
"515"	"YLR074C"	3.08	1.45	1.08	1.26	1.6	3.41	3.1
"516"	"YEL026W"	13.19	10.56	5.54	4.09	6.19	12.91	12.39
"517"	"YGL106W"	5.85	8.27	7.94	6.67	6.54	6.67	6.63
"518"	"YLR038C"	4.99	8.88	7.62	5.21	4.66	4.26	4.35
"519"	"YDR397C"	1.77	1.54	1.36	1.4	1.18	1.84	1.85
"520"	"YDR279W"	0.58	0.42	0.39	0.32	0.45	0.49	0.61
"521"	"YGR187C"	1.74	0.63	1.74	0.49	0.65	0.94	1.39
"522"	"YFL045C"	8.54	11.51	8.31	7.28	9.03	14.36	16.5
"523"	"YBR252W"	3.34	3.18	2.23	2.07	2.2	3.5	3.8
"524"	"YDR304C"	5.81	9.77	9.77	9.91	9.84	9.18	6.91
"525"	"YLR208W"	3.75	4.43	4.25	3.86	4.85	5.57	4.25
"526"	"YER159C"	2.25	2.3	2.27	2.19	2.05	2.37	2.85
"527"	"YJR069C"	1.76	2.1	1.65	1.46	1.59	2.33	1.94
"528"	"YHR029C"	0.72	1.63	1.81	2.04	2.11	1.87	1.52
"529"	"YOR136W"	5.75	10.95	9.8	8.41	7.69	6.07	4.67
"530"	"YEL003W"	3.87	4.32	4.03	3.48	3.76	4.03	3.95
"531"	"YDR308C"	1.21	1.59	1.28	1.21	0.97	1.22	1.05
"532"	"YOL067C"	0.38	0.28	0.38	0.47	0.52	0.51	0.38
"533"	"YML004C"	2.81	5.71	8.3	9.4	9.8	7.63	4.57
"534"	"YCR051W"	1.83	2.11	1.44	1.61	1.7	2.81	2.9
"535"	"YLR009W"	3.27	1.22	0.72	0.79	1.11	2.36	2.33
"536"	"YNL244C"	11.7	13.82	12.03	8.39	10.92	15.66	11.62
"537"	"YBR053C"	1.28	3.24	4.07	4.98	4.98	3.43	2.15
"538"	"YLR075W"	64.25	109.56	81.33	54.03	53.28	64.7	61.63
"539"	"YNL037C"	2.19	2.91	2.6	2.53	2.75	2.66	3.14
"540"	"YDL004W"	4.04	7.13	5.48	3.77	3.44	2.78	3.39
"541"	"YDR487C"	2.55	3.81	3.37	3.46	4.35	5.9	4.2
"542"	"YHL033C"	17.21	20.33	11.84	7.39	7.04	12.87	15.51
"543"	"YGR214W"	21.97	24.54	14.69	8.56	9.43	12.7	16.88
"544"	"YDR381W"	5.22	9.02	7.12	5.44	5.36	6.38	5.83
"545"	"YIR034C"	1.44	1.63	1.82	1.82	1.96	1.77	1.38
"546"	"YML079W"	1.12	1.63	1.77	1.73	1.94	1.8	1.44
"547"	"YPR191W"	2.56	5.33	4.04	2.92	2.63	1.85	1.91
"548"	"YMR073C"	1.06	1.26	1.21	1.18	1.22	1.14	1.38
"549"	"YDR068W"	1.04	0.95	1.09	0.97	1.1	0.76	1.05
"550"	"YKL024C"	3.25	3.09	2.46	2.41	2.93	5.06	4.62
"551"	"YAR015W"	4.94	2.49	1.67	1.53	3.21	2.82	3.26
"552"	"YNL113W"	3.96	2.14	1.34	1.47	2.09	3.85	3.96
"553"	"YLR200W"	1.18	1.38	1.28	1.44	1.3	1.67	1.35
"554"	"YMR083W"	13.8	15.74	12.18	11.05	12.7	19.51	15.74
"555"	"YDL168W"	2.08	3.52	3.7	3.11	3.62	4.34	3.88
"556"	"YBL021C"	0.75	0.99	0.99	1	0.8	1.09	0.86
"557"	"YMR200W"	1.49	2.08	2.01	2	1.93	2.19	1.85
"558"	"YHL034C"	7.31	13.63	15.44	24.4	17.86	14.81	9.57
"559"	"YLR178C"	0.96	6.3	24.02	16.07	17.83	6.48	2.54
"560"	"YDL201W"	1.8	0.87	0.67	0.8	0.85	1.32	1.48
"561"	"YGL246C"	1.53	1.21	0.91	0.95	0.99	1.52	1.43
"562"	"YNL055C"	25.38	62.49	71.79	76.41	67.44	51.47	46.39
"563"	"YNL032W"	2.03	2.19	1.98	1.75	1.71	1.73	1.94
"564"	"YMR079W"	4.71	4.34	3.36	3.36	3.91	5.05	4.28
"565"	"YJR070C"	4.18	2.05	0.75	0.75	1.47	4.06	4.01
"566"	"YJL177W"	16.3	18.09	9.43	6.18	6.35	10.25	11.93
"567"	"YKR076W"	0.39	2.83	5.48	10.5	8.96	3.44	1.28
"568"	"YPL171C"	0.69	2.14	2.26	2.06	1.95	1.68	1.41
"569"	"YHR144C"	1.17	0.78	0.62	0.67	0.78	0.97	1.17
"570"	"YHR193C"	16.37	25.15	18.16	12.58	11.26	14.05	12.4
"571"	"YNL036W"	1.26	3.75	5.2	3.29	3.15	1.66	1.45
"572"	"YDR012W"	20.41	24.1	14.94	10.42	10.64	15.68	16.12
"573"	"YDR408C"	2.19	2.08	1.58	1.37	1.42	1.63	1.54
"574"	"YCL009C"	3.62	4.05	3.09	2.54	2.49	2.9	3.09
"575"	"YER009W"	7.54	11.99	8.6	0	7.59	7.7	7.33
"576"	"YLR025W"	1.62	1.94	1.94	1.8	1.81	1.25	1.27
"577"	"YPR035W"	11.15	7.83	6.67	9.12	9.84	23.08	14.51
"578"	"YJL140W"	2.14	2.76	2.84	2.45	2.37	2.09	2.23
"579"	"YKL093W"	0.25	0.37	0.47	0.42	0.37	0.36	0.28
"580"	"YOR120W"	1.15	6.6	9.2	9.33	8.18	5.95	2.32
"581"	"YHR063C"	3.09	3.86	3.63	3.07	3.78	4.08	4.2
"582"	"YGL148W"	4.61	5.33	3.44	2.72	2.9	4.97	4.97
"583"	"YML068W"	0.5	0.56	0.54	0.57	0.51	0.39	0.52
"584"	"YOL140W"	0.83	0.55	0.43	0.51	0.47	0.81	0.92
"585"	"YOL147C"	2.19	2.02	1.49	1.79	2.02	2.42	2.49
"586"	"YPL037C"	18.37	28.43	19.69	16.56	16.67	19.15	17.5
"587"	"YHR132C"	2.25	2.1	1.89	1.95	2.07	2.25	2.07
"588"	"YHR179W"	10.23	29.55	16.62	12.69	19.77	53.27	57.89
"589"	"YOL041C"	2.5	0.72	1.1	0.5	1.04	1.51	1.64
"590"	"YBR028C"	0.93	0.93	0.84	0.8	0.86	0.84	0.96
"591"	"YCR060W"	1.17	1.68	1.72	1.47	1.47	1.85	1.4
"592"	"YNL064C"	7.58	18.29	16.26	9.94	11.49	15.06	14.45
"593"	"YBL015W"	1.61	2.63	2.73	2.15	1.22	1.35	1.27
"594"	"YLR238W"	0.54	0.51	0.59	0.56	0.59	0.4	0.55
"595"	"YLR195C"	1.4	1.5	1.37	1.36	1.64	1.95	1.89
"596"	"YHR064C"	8.29	7.36	5.14	3.97	4.57	7.89	10.13
"597"	"YHR208W"	7.66	5.88	4.05	3.75	5.8	8.21	8.86
"598"	"YDL066W"	2.91	4.25	4.11	3.78	3.94	4.31	3.55
"599"	"YOR104W"	1.93	1.78	1.88	2.14	2.03	2.41	2.51
"600"	"YMR217W"	7.72	4.25	1.31	0.77	1.16	4.95	6.86
"601"	"YPL043W"	2	0.42	0.36	0.32	0.5	0.94	1.16
"602"	"YGR193C"	1.45	2.17	2.28	1.97	1.95	1.49	1.65
"603"	"YPL004C"	5.81	24.06	30.24	31.31	25.43	10.05	7.3
"604"	"YLR180W"	6.3	7.65	4.78	3.77	4.04	6.8	6.04
"605"	"YNR019W"	1.18	1.78	1.71	2.56	2.01	2.26	1.53
"606"	"YBR078W"	25.39	28.76	24.35	27.4	31.04	41.24	43.29
"607"	"YLR163C"	1.01	1.43	1.6	1.65	1.65	1.1	1.15
"608"	"YJL016W"	1.2	1.73	1.76	2	2.06	0	0
"609"	"YDR044W"	1.31	1.18	0.86	0.8	0.84	0.99	0.89
"610"	"YBR127C"	8.56	10.04	9.18	8.74	10.99	11.07	9.18
"611"	"YGR124W"	8.22	9.12	9.12	8.05	10.2	11.63	10.05
"612"	"YML080W"	1.19	0.45	0.37	0.43	0.55	0.78	0.94
"613"	"YDR444W"	0.15	0.11	0.09	0.1	0.1	0.1	0.15
"614"	"YGL252C"	1.65	1.95	2.16	2.06	2.06	1.58	1.88
"615"	"YGR279C"	12.81	13.35	11	12.2	11.39	11.39	17.26
"616"	"YDL188C"	1.38	2.06	1.85	1.81	1.85	1.5	1.32
"617"	"YDL065C"	1.72	1.65	1.76	1.49	1.7	1.56	1.55
"618"	"YMR295C"	5.54	7.02	5.86	5.51	6.64	10.34	9.01
"619"	"YNR015W"	1.24	0.77	0.57	0.69	0.73	1.05	1.18
"620"	"YNL007C"	4.33	23.81	16.26	10.15	9.02	10.29	13.77
"621"	"YBR162C"	13.71	11.21	9.63	10.17	11.77	16.19	17.71
"622"	"YOL068C"	1.64	1.51	1.73	1.49	1.74	1.64	1.54
"623"	"YGR276C"	1.24	1.31	1.31	1.27	1.35	1.57	1.47
"624"	"YMR044W"	1.15	0.95	1.04	0.96	1.08	0.89	1.23
"625"	"YGR019W"	0.89	2.49	4.43	3.94	5.41	4.58	1.94
"626"	"YOR204W"	3.13	2.29	2.09	3.28	2.68	5.44	3.04
"627"	"YNL061W"	1.81	0.56	0.29	0.36	0.52	1.2	1.6
"628"	"YPL158C"	1.12	0.81	1.07	1.02	0.88	0.74	0.84
"629"	"YBL045C"	2.4	3.93	3.47	2.35	2.5	1.92	1.95
"630"	"YER003C"	1.91	1.99	2.05	1.91	2.47	3.54	3.1
"631"	"YNR053C"	4.06	0.9	0.53	0.81	0.97	2.43	2.43
"632"	"YKR063C"	0.81	0.65	0.56	0.72	0.72	0.83	0.91
"633"	"YKL172W"	3.2	0.74	0.45	0.54	0.77	1.57	2.38
"634"	"YJR121W"	7.41	11.79	11.31	8.87	7.67	5.69	5.31
"635"	"YLR134W"	16.64	18.21	14.19	14.89	13.8	16.99	15.74
"636"	"YKL195W"	3.09	4.79	5.81	6.06	11.63	3.84	3.63
"637"	"YBR196C"	19.17	19.04	13.19	15.15	19.04	29.26	19.99
"638"	"YDR188W"	4.83	5.25	5.91	7.69	6.6	9.2	7.17
"639"	"YDR432W"	3.78	3.86	3.96	3.55	4.43	5.27	4.28
"640"	"YHR216W"	1.37	1.02	0.58	0.45	0.61	1.24	1.18
"641"	"YOR155C"	0.62	1.12	1.28	1.28	1.55	1.22	0.76
"642"	"YBR130C"	0.94	1.16	1.07	0.99	0.96	0.71	0.49
"643"	"YER090W"	1.67	1.8	1.42	1.28	1.5	1.55	1.89
"644"	"YBL020W"	1.47	0.95	0.84	1	1.07	1.51	1.44
"645"	"YOR375C"	6.73	7.27	0	8.01	6.73	3.98	4.03
"646"	"YML002W"	0.51	0.51	0.57	0.65	0.66	0.62	0.69
"647"	"YDR312W"	1.37	0.37	0.33	0.33	0.51	0.77	1.02
"648"	"YMR290C"	1.4	0.52	0.25	0.27	0.38	1.12	1.18
"649"	"YLR304C"	5.58	6.87	5.81	5.62	5.35	2.46	1.89
"650"	"YMR313C"	1.37	1.46	1.53	1.29	1.41	1.36	1.36
"651"	"YNL104C"	3.24	3.69	3.52	4.84	6.08	6.89	5.68
"652"	"YGL253W"	13.59	24	19.22	13.31	8.14	6.66	7.49
"653"	"YDL226C"	1.75	2.24	2.2	1.82	2.17	2.26	1.98
"654"	"YLR044C"	138.72	162.69	125.89	120.76	109.59	127.65	125.89
"655"	"YGR041W"	0.72	0.6	0.66	0.81	0.93	1.04	0.9
"656"	"YKR027W"	0.79	0.52	0.6	0.56	0.68	0.7	0.91
"657"	"YOR123C"	1.4	0.78	0.88	0.73	1.48	0.87	1.12
"658"	"YML094W"	1.65	1.87	1.25	1.14	1.32	1.79	1.62
"659"	"YOR233W"	0.86	0.41	0.44	0.4	0.5	0.58	0.91
"660"	"YGR086C"	7.59	11.35	14.27	14.77	17.94	6.17	8.25
"661"	"YDL153C"	3.84	1.07	0.5	0.5	0.77	1.77	2.5
"662"	"YLR336C"	1.29	0.39	0.37	0.36	0.52	0.7	1.06
"663"	"YDR113C"	0.62	0.55	0.57	0.48	0.51	0.4	0.69
"664"	"YDR299W"	1.51	0.36	0.2	0.26	0.45	0.68	1.09
"665"	"YDL229W"	15.62	17.22	18.84	16.06	14.58	12.87	11.92
"666"	"YDR390C"	1.01	0.78	0.86	0.73	0.97	0.88	1
"667"	"YMR167W"	0.57	0.46	0.41	0.46	0.5	0.45	0.58
"668"	"YBR135W"	1.21	0.97	0.94	0.9	1.19	1.27	1.33
"669"	"YAR014C"	0.95	1.22	1.81	0.64	0.86	0.74	1.01
"670"	"YLL008W"	3.85	0.77	0.31	0.39	0.81	2.27	3.12
"671"	"YPL093W"	3.66	0.77	1.02	1.26	1.37	2.91	1.95
"672"	"YPL181W"	0.77	0.74	0.64	0.65	0.63	0.71	0.65
"673"	"YOL019W"	1.09	0.77	0.9	1.06	1.56	1.81	2.11
"674"	"YKL029C"	2.77	0.58	0.44	1.33	0.72	1.95	2.59
"675"	"YDR129C"	4.02	5.69	8.21	8.27	8.44	5.65	4.55
"676"	"YBL099W"	4.07	6.98	6.29	5.04	4.84	3.62	3.74
"677"	"YJL080C"	3.36	2.25	1.85	1.92	2.22	2.49	2.58
"678"	"YKR048C"	2.66	2.87	2.61	3.12	3.23	3.49	3.3
"679"	"YAL031C"	0.97	1.22	1.29	1.07	1.14	0.86	1.04
"680"	"YLR369W"	0.68	0.79	1	1.05	1.12	0.89	0.84
"681"	"YCR011C"	1.15	1.29	2.18	2.43	2.45	1.65	1.76
"682"	"YJL041W"	1.26	1.06	0.84	0.9	1.11	1.18	1.2
"683"	"YPR154W"	0.94	1.39	1.4	1.28	1.43	1.83	1.53
"684"	"YAL053W"	2.04	1.75	1.91	2.37	2.29	3.93	1.93
"685"	"YLR427W"	1.85	1.59	1.98	1.9	2.39	2.73	2.55
"686"	"YHR047C"	1.25	1.07	0.97	0.8	0.72	0.59	0.89
"687"	"YBR295W"	0.59	0.41	0.47	0.59	0.55	0.73	0
"688"	"YNL085W"	2.76	1.94	2.15	2.02	2.44	2.24	2.69
"689"	"YAL011W"	0.81	0.69	0.67	0.76	0.74	0.72	0.69
"690"	"YOR206W"	2.7	0.7	0.38	0.4	0.75	1.51	2
"691"	"YNL127W"	0.57	0.49	0.59	0.56	0.57	0.44	0.51
"692"	"YER070W"	2.07	0.95	0.73	0.75	1.24	1.14	1.45
"693"	"YAR007C"	1.37	1.79	2.01	1.9	2.06	1.66	1.42
"694"	"YNL023C"	0.78	0.32	0.36	0.45	0.47	0.78	0.88
"695"	"YGL234W"	3.22	1.38	0.68	0.8	1.13	1.68	2.32
"696"	"YPR162C"	0.64	0.58	0.52	0.53	0.67	0.55	0.68
"697"	"YMR302C"	1.23	2	3.49	2.83	2.95	2.43	1.86
"698"	"YJR109C"	1.33	0.59	0.62	0.69	0.91	1.14	1.27
"699"	"YCR057C"	1.06	0.2	0.19	0.19	0.25	0.66	0.7
"700"	"YDL073W"	1.26	0.79	0.89	0.83	0.96	0.87	0.98
