R0	R10	R20	R30	R40	R60	R90	fit.cluster
YOR028C	0.67	3.79	2.32	2.02	1.29	0.48	0.54	4
YOR029W	0	0	0	0	0	0	0	4
YOR030W	0.72	0.58	0.69	0.64	0.7	0.59	0.71	4
YOR031W	1.23	1.63	1.5	2.18	2.15	1.61	1.34	4
YOR032C	0	0	0	0	0	0	0	4
YOR034C	0.84	0.44	0.42	0.5	0.56	0.78	0.9	4
YOR035C	0.71	0.68	0.84	0.85	0.92	1.06	0.92	4
YOR036W	0.72	1.5	1.73	1.28	1.29	1.87	0.97	4
YOR037W	0.64	0.73	0.7	0.74	0.83	0.95	0.89	4
YOR038C	0.75	0.63	0.75	0.61	0.62	0.58	0.71	4
YOR039W	2.12	2.16	1.87	1.57	1.82	1.72	1.91	4
YOR040W	0.51	0.57	0.49	0.58	0.62	0.81	0.44	4
YOR041C	2.25	2.45	2.43	3.18	3.43	2.69	2.36	4
YOR043W	1.16	0.88	0.88	0.83	1.03	1	0.89	4
YOR044W	1.38	1.48	3.71	1.39	1.61	2.41	1.38	4
YOR045W	10.47	15.12	14.11	16.09	16.54	15.54	11.22	1
YOR046C	4.34	4.22	3.48	2.94	3.38	3.65	4.85	4
YOR047C	1.59	0.88	0.65	0.81	0.84	1.21	1.21	4
YOR048C	1.61	1.05	0.79	1.2	1.16	1.25	1.49	4
YOR049C	0.51	1.5	0.83	0.58	0.43	0.41	0.4	4
YOR050C	0	0	0	0	0	0	0	4
YOR051C	2.22	1.78	1.17	1	1.22	1.65	1.73	4
YOR053W	0.69	0.8	0.94	0.76	0.9	0.79	0.69	4
YOR054C	0.82	1.09	1.53	1.27	1.43	0.91	1.12	4
YOR055W	0	0	0	0	0	0	0	4
YOR056C	1.67	0.68	0.42	0.85	0.68	1.11	1.62	4
YOR057W	0.95	0.99	0.95	0.93	1.17	1.22	1.26	4
YOR058C	0.98	0.99	1.03	0.98	1.1	0.81	0.89	4
YOR059C	1.27	2.47	3.35	3.31	3.08	4.01	2.15	4
YOR060C	1.01	1.12	1.15	1.08	1.03	1.26	1.06	4
YOR062C	1.12	1.67	2.01	2.16	1.56	1.9	1.17	4
YOR064C	1.33	1.52	1.33	1.31	1.2	1.15	1.41	4
YOR065W	4.5	8.46	8.4	6.73	8.29	4.47	4.32	1
YOR066W	0.81	0.61	0.66	0.72	0.93	0.77	0.55	4
YOR067C	1.56	1.28	1.17	1.24	1.5	1.61	1.61	4
YOR068C	0	0	0	0	0	0	0	4
YOR069W	0.92	1.05	1.41	1.23	1.39	1.24	1.21	4
YOR070C	0.53	0.66	0.76	0.68	0.62	0.54	0.64	4
YOR071C	0.42	0.33	0.33	0.46	0.59	0.62	0.63	4
YOR072W	0	0	0	0	0	0	0	4
YOR073W	1.03	0.91	0.91	0.68	0.82	0.43	0.99	4
YOR074C	0.84	1.02	0.97	0.86	0.83	1.03	1.03	4
YOR075W	0.91	0.92	0.98	0.85	0.94	0.76	1.04	4
YOR076C	0.84	0.85	0.95	0.92	0.91	0.64	0.92	4
YOR077W	0.45	0.31	0.38	0.45	0.48	0.39	0.46	4
YOR078W	1.94	0.86	0.7	0.76	0.99	1.25	1.82	4
YOR079C	1.61	1.73	1.35	1.43	1.68	1.8	1.64	4
YOR080W	0.73	0.67	0.68	0.71	0.59	0.69	0.78	4
YOR081C	0.83	0.76	0.73	0.87	0.99	0.92	1.03	4
YOR082C	0	0	0	0	0	0	0	4
YOR083W	0	0	0	0	0	0	0	4
YOR084W	0.81	0.96	0.95	0.93	0.77	1.31	1.09	4
YOR085W	1.77	1.77	1.73	1.85	2.02	2.07	2.02	4
YOR086C	2.03	2.08	2.65	2.65	2.44	1.69	1.91	4
YOR087W	0	0	0	0	0	0	0	4
YOR088W	0.78	1.29	1.32	1.47	1.49	1.07	1.02	4
YOR089C	1.56	2.32	2.34	2.21	2.11	2.09	1.77	4
YOR090C	0.61	0.91	0.87	0.9	0.53	0.71	0.79	4
YOR091W	1.43	0.57	0.34	0.43	0.58	0.98	1.37	4
YOR093C	1.17	0.82	0.98	1.07	1.05	0.79	1.04	4
YOR094W	1.47	1.2	1.01	0.92	0.87	1.25	1.26	4
YOR097C	1.1	2.04	1.78	1.75	1.72	1.43	1.26	4
YOR098C	1.15	0.63	0.61	0.63	0.72	0.84	0.87	4
YOR099W	3.81	4.38	3.71	4.63	5.43	7.36	6.36	1
YOR100C	0	0	0	0	0	0	0	4
YOR101W	1.2	0.93	0.66	0.69	0.79	1.04	1.02	4
YOR102W	1.13	1.44	1.29	1.45	1.33	2.03	1.51	4
YOR103C	2.44	3.15	2.73	2.88	3.29	4.28	3.03	4
YOR105W	0.84	0.68	0.74	0.84	0.97	0.9	0.81	4
YOR106W	1.29	1.17	1.07	1.13	0.96	1.07	1.18	4
YOR107W	0.64	0.45	0.36	0.41	0.45	1.14	0.73	4
YOR108W	2.22	1.48	0.98	1.31	1.46	1.9	2.01	4
YOR110W	1.42	1.64	1.66	1.6	1.45	1.35	1.55	4
YOR111W	0.55	0.63	0.62	0.64	0.69	0.72	0.59	4
YOR112W	0.81	0.69	0.79	0.77	0.83	0.68	0.82	4
YOR113W	0.49	0.46	0.56	0.51	0.61	0.39	0.53	4
YOR114W	0	0	0	0	0	0	0	4
YOR115C	1.53	1.76	1.49	1.38	1.51	1.74	1.8	4
YOR116C	2.14	0.95	1.18	0.99	1.14	1.71	1.57	4
YOR118W	0	0	0	0	0	0	0	4
YOR119C	1.44	0.49	0.59	0.56	0.69	0.83	1.07	4
YOR121C	0	0	0	0	0	0	0	4
YOR125C	1.2	2.24	2.33	2.42	2.38	1.57	1.29	4
YOR126C	0.65	0.75	0.75	0.77	0.86	1.09	0.74	4
YOR127W	0.92	0.5	0.53	0.59	0.75	0.75	0.85	4
YOR129C	0.75	0.4	0.4	0.35	0.51	0.43	0.6	4
YOR130C	0.75	1.05	0.96	0.92	0.89	0.94	0.92	4
YOR131C	1.42	2.08	1.77	1.64	1.62	1.61	1.28	4
YOR132W	0.94	1.57	1.66	1.25	1.31	1.01	0.95	4
YOR133W	23.14	15.69	10.21	9.27	10.64	16.25	17.17	1
YOR134W	1.81	2.68	3.12	3.1	4.51	23.14	2.72	1
YOR135C	1.14	1.59	1.6	1.6	1.4	1.2	0.85	4
YOR137C	0.4	0.54	0.57	0.65	0.69	0.99	0.6	4
YOR138C	0.84	0.86	0.95	1.04	1.14	1.18	1.17	4
YOR139C	0	0	0	0	0	0	0	4
YOR140W	0	0	0	0	0	0	0	4
YOR141C	0.91	0.49	0.66	0.6	0.73	0.74	0.88	4
YOR143C	1.01	1.01	0.82	0.87	0.82	0.89	0.92	4
YOR144C	1.12	0.93	0.86	0.81	0	0.77	1.05	4
YOR145C	2.35	0.77	0.45	0.7	0.77	1.88	1.92	4
YOR146W	1.37	0.49	0.33	0.37	0.49	0.96	1.03	4
YOR147W	0.8	0.64	0.65	0.62	0.67	0.72	0.75	4
YOR148C	1.49	1.33	1.36	1.48	1.37	1.67	1.81	4
YOR149C	0.69	0.53	0.45	0.56	0.63	0.8	0.92	4
YOR150W	1.57	2.26	2.82	2.55	2.28	1.92	1.68	4
YOR152C	0.89	1.51	1.55	1.61	1.52	1.26	1.66	4
YOR153W	6.22	8.32	7.81	6.85	6.53	5.49	7.71	1
YOR154W	0.8	0.41	0.42	0.56	0.55	0.65	0.71	4
YOR156C	0.29	0.32	0.32	0.35	0.37	0.32	0.3	4
YOR159C	2.08	2.87	2.38	2	1.85	1.88	1.73	4
YOR160W	0.84	0.66	0.76	0.72	0.86	0.64	0.74	4
YOR161C	0.89	3.79	6.12	5.87	4.36	1.05	1.11	4
YOR162C	0.67	0.96	1.33	1.26	1.4	0.79	0.82	4
YOR163W	2.09	3.23	2.98	2.82	2.8	2.68	2.5	4
YOR164C	2.22	2.62	2.62	2.34	2.23	2.2	2.69	4
YOR166C	1.21	0.98	0.89	0.85	0.77	1.07	1.12	4
YOR167C	17.41	27.13	15.37	11.81	9.73	12.92	12.4	2
YOR169C	2.54	2.42	1.5	1.37	1.6	2.11	2.01	4
YOR170W	0	0	0	0	0	0	0	4
YOR171C	0.91	0.91	0.95	1.01	0.95	0.82	0.85	4
YOR172W	1.27	1.14	1.36	1.28	1.21	1.61	1.36	4
YOR173W	1.18	3.7	5.06	3.6	3.41	2.43	3.05	4
YOR174W	1.71	1.74	1.63	1.6	1.61	1.67	1.8	4
YOR175C	1.65	1.5	1.21	1.1	1.19	1.3	1.65	4
YOR176W	1.96	2.95	2.99	2.87	2.93	3.16	2.64	4
YOR177C	0	0	0	0	0	0	0	4
YOR178C	0.48	0.92	1.38	1.1	0.47	0.34	0.36	4
YOR179C	1.36	1.57	1.4	1.39	1.18	1.3	1.11	4
YOR180C	0	0	0	0	0	0	0	4
YOR181W	0.68	0.87	0.89	1.02	1.02	0.58	0.66	4
YOR182C	37.85	52.06	33.64	25.32	23.14	24.97	27.71	2
YOR183W	0	0	0	0	0	0	0	4
YOR185C	1.86	3.63	4.99	5.31	7.4	7.2	3.63	1
YOR186W	0	0	0	0	0	0	0	4
YOR187W	4.72	9.38	9.71	10.56	9.78	5.21	4.5	1
YOR189W	1.26	1.48	1.51	1.58	1.71	1.65	1.65	4
YOR190W	0	0	0	0	0	0	0	4
YOR192C	0	0	0	0	0	0	0	4
YOR193W	0.57	0.73	0.67	0.65	0.74	0.76	0.82	4
YOR194C	1.71	1.55	1.72	1.61	1.83	1.44	1.76	4
YOR195W	0.78	0.35	0.37	0.35	0.37	0.32	0	4
YOR196C	1.18	1.13	1.01	0.92	0.89	1.15	1.16	4
YOR197W	1.97	2.07	1.68	1.66	1.75	2.31	2.2	4
YOR199W	0	0	0	0	0	0	0	4
YOR200W	0.61	0.7	0.65	0.72	0.61	0.62	0.5	4
YOR201C	0.73	0.84	0.84	0.94	0.96	0.74	0.73	4
YOR203W	1.68	0	0	0	0	0	0	4
YOR205C	1.05	0	0	0	0	0	0	4
YOR207C	1.66	0.48	0.25	0.27	0	0	1.29	4
YOR209C	3.05	0	0	0	0	0	0	4
YOR211C	1.17	1.12	1.26	1.51	1.23	1.27	0.84	4
YOR212W	3.72	3.35	2.82	2.72	2.9	2.45	2.82	4
YOR213C	1.35	1.04	0.77	0.83	1	1.27	1.51	4
YOR214C	0	0	0	0	0	0	0	4
YOR215C	2.25	4.59	5.97	5.2	4.82	2.75	2.41	4
YOR216C	1.15	0.78	0.85	0.64	0.83	0.69	0.98	4
YOR217W	0.98	0.73	0.73	0.67	0.71	0.64	0.7	4
YOR218C	0.8	0.77	0.73	0.59	0.7	0.52	0.72	4
YOR219C	0.7	0.77	0.83	0.87	0.8	0.82	0.77	4
YOR220W	1.4	3.7	4.5	4.17	3.68	5.89	3.2	4
YOR221C	1.09	1	1.02	0.99	1.18	1.44	1.24	4
YOR222W	1.35	1.4	1.08	0.77	0.81	1.01	1.05	4
YOR223W	0.59	0	0.81	0.51	0.61	0.69	0.57	4
YOR224C	4.39	3.69	2.32	1.71	2.24	2.63	3.83	4
YOR225W	0.76	2.84	1.75	1.32	1.5	1.08	1.4	4
YOR226C	1.38	5.64	3.8	2.78	3.17	2.08	3	4
YOR228C	0.65	1.06	1.15	1.15	0.91	1.1	0.69	4
YOR229W	0.96	0.66	0.65	0.73	0.73	1.1	0.81	4
YOR231W	0.82	0.56	0.56	0.61	0.7	0.82	0.86	4
YOR235W	0	0	0	0	0	0	0	4
YOR236W	1.35	0.94	0.61	0.77	0.97	2.62	2.64	4
YOR237W	0.34	0.2	0.18	0.2	0.22	0.27	0.28	4
YOR238W	1.78	1.52	1.4	1.73	1.81	2.41	2.57	4
YOR240W	0	0	0	0	0	0	0	4
YOR241W	1.41	1.52	1.35	1.27	1.44	1.34	1.47	4
YOR242C	0.77	0.57	0.58	0.5	0.52	0.51	0	4
YOR244W	1.53	1.31	1.64	1.64	1.57	1.46	1.82	4
YOR245C	0.88	1.1	1.19	1.17	1.43	1.2	1.16	4
YOR246C	2.83	2.18	2.12	2.02	2.3	2.77	3.98	4
YOR247W	5.44	5.91	5.18	5.67	0	6.47	8.71	1
YOR248W	8.09	8.74	8.04	8.15	8.74	8.26	11.85	1
YOR249C	0.66	0.61	0.66	0.62	0	0.58	0	4
YOR250C	1.04	1.13	1.46	1.28	1.46	1.39	1.3	4
YOR252W	1.79	0.84	0.63	0.91	0.82	0.38	1.43	4
YOR253W	4.03	4.44	3.46	2.91	3.34	4.44	4.23	4
YOR255W	0	0	0	0	0	0	0	4
YOR256C	1.23	1.56	1.9	1.96	1.85	1.32	1.51	4
YOR257W	1.87	2.54	2.54	2.19	2.47	2.78	2.42	4
YOR258W	1.15	1.77	1.71	1.72	1.74	1.64	1.36	4
YOR259C	3.85	6.17	8.31	8.08	9.61	7.18	6.52	1
YOR260W	2.72	2.37	2.21	2.15	3	3	2.88	4
YOR261C	4.11	6.36	7.67	7.26	7.83	7.26	5.1	1
YOR262W	1.11	0.79	0.69	0.78	0.78	1.23	1.28	4
YOR263C	0	0	0	0	0	0	0	4
YOR264W	0.97	1.06	1.1	1.17	1.14	0.88	0.97	4
YOR265W	2.36	4.17	3.83	3.22	4.05	3.97	2.89	4
YOR266W	1.02	1.34	1.28	1.25	1.09	1.28	1.06	4
YOR267C	1.04	1.39	1.39	0.61	1.29	1.95	1.04	4
YOR268C	0	0	0	0	0	0	0	4
YOR269W	0.75	0.59	0.52	0.5	0.58	0.76	0.7	4
YOR270C	7.4	6.67	5.85	6.22	6.9	6.95	6.58	1
YOR271C	3.56	2.35	1.57	1.35	2.21	4.44	3.98	4
YOR272W	2.12	0.77	0.36	0.38	0.68	1.61	2.17	4
YOR274W	0.7	0.54	0.47	0.53	0.52	0.91	0.81	4
YOR275C	0.63	0.61	0.65	0.65	0.68	0.54	0.61	4
YOR277C	0	0	0	0	0	0	0	4
YOR279C	0.65	0.59	0.52	0.56	0.7	0.57	0.76	4
YOR280C	1.21	1.32	1.66	1.84	1.69	2.26	1.75	4
YOR281C	1.54	1.61	0	1.37	1.65	1.78	1.48	4
YOR282W	0	0	0	0	0	0	0	4
YOR283W	1.92	1.87	0	1.37	1.64	2.57	2.29	4
YOR284W	0.47	0.51	0.47	0.46	0.46	0.55	0.46	4
YOR286W	2.75	4.46	4.98	4.85	3.83	3.36	2.36	4
YOR287C	1.09	0.34	0.25	0.28	0.35	0.55	0.81	4
YOR288C	0.97	1.32	1.81	2.07	2.02	3	2.05	4
YOR289W	0.72	2.26	3.2	3.93	4.05	3.75	2.18	4
YOR292C	0.77	1.19	1.25	1.32	1.02	0.81	0.74	4
YOR293C-A	0	0	0	0	0	0	0	4
YOR295W	0.9	0.56	0.45	0.52	0.52	0.86	0.8	4
YOR296W	0.66	0.56	0.66	0.7	0.68	0.65	0.7	4
YOR297C	1.03	1.12	0.86	0.96	1.06	0.91	0.95	4
YOR298C-A	0	0	0	0	0	0	0	4
YOR298W	0	0	0	0	0	0	0	4
YOR299W	1.23	1.34	1.37	1.27	1.51	1.86	1.66	4
YOR300W	0	0	0	0	0	0	0	4
YOR301W	0.61	0.45	0.45	0.55	0.62	0.54	0.61	4
YOR302W	2.03	1.07	1.38	1.06	1.12	2.52	2.27	4
YOR303W	2.96	1.19	0.59	0.77	1.25	4.75	4.92	4
YOR304C-A	2.49	0	0	0	0	0	0	4
YOR305W	2.49	2.25	1.97	1.75	2.25	2.2	2.67	4
YOR306C	1.28	0.52	0.41	0.49	0.55	1.55	1.09	4
YOR307C	1.38	0.99	1.01	1.08	1.38	1.35	1.58	4
YOR308C	0.74	0.41	0.48	0.47	0.56	0.54	0.69	4
YOR309C	11.4	5.03	2.16	1.83	3.41	6.97	8.46	1
YOR311C	1.58	1.52	1.23	1.31	1.42	1.8	1.11	4
YOR312C	25.95	29.81	17.85	10.11	10.4	14.5	19.4	2
YOR313C	0.43	0.22	0.18	0.21	0.15	0.14	0.08	4
YOR314W	0	0	0	0	0	0	0	4
YOR315W	1.63	0.99	0.72	0.6	0.9	0.7	1.21	4
YOR316C	0.94	1.28	1.22	1.24	1.36	0.95	1.07	4
YOR317W	2.73	4.43	6.53	6.18	6.49	3.22	3.36	1
YOR318C	0	0	0	0	0	0	0	4
YOR319W	0.99	0.87	0.8	0.71	0.74	0.87	0.91	4
YOR321W	0.81	0.7	0.9	0.99	1.17	1.23	1.04	4
YOR322C	0.9	0.71	0.72	0.68	0.75	0.73	0.84	4
YOR324C	1.11	0.75	0.86	0.78	1.11	1.33	1.13	4
YOR325W	0	0	0	0	0	0	0	4
YOR327C	3.21	4.69	4.11	3.84	4.11	4.99	3.92	4
YOR328W	1.02	0.87	0.83	1.17	1.06	1.02	1.16	4
YOR329C	0.85	0.77	0.86	0.86	1.03	0.86	0.87	4
YOR330C	0.89	0.68	0.77	0.8	0.78	0.66	1.01	4
YOR331C	4.09	5.4	5.14	4.86	5.18	6.29	5.04	1
YOR333C	0.48	0.31	0.31	0.36	0.37	0.38	0.35	4
YOR334W	1.36	1.04	1.16	1.14	1.32	1.43	1.15	4
YOR337W	1.09	0.33	0.32	0.38	0.49	0.99	0.94	4
YOR338W	1.57	0.94	0.96	1.51	2.06	7.84	2.1	4
YOR339C	0	0	0	0	0	0	0	4
YOR340C	2.43	0.85	0.44	0.56	0.68	1.56	1.97	4
YOR342C	2.05	1.15	0.96	1.05	1.33	1.95	1.7	4
YOR343C	0	0	0	0	0	0	0	4
YOR344C	2.65	1.91	1.94	2.2	2.94	4.65	3.11	4
YOR345C	0	0	0	0	0	0	0	4
YOR346W	0.95	0.98	0.92	1.06	0.85	0.83	0.73	4
YOR347C	0.71	1.96	3.44	3.49	3.14	1.95	1.23	4
YOR348C	0	0	0	0	0	0	0	4
YOR349W	1.16	0.79	1.12	1.08	1.18	1.12	0.94	4
YOR350C	0.65	0.6	0.73	0.79	0.91	1.1	0.99	4
YOR351C	0	0	0	0	0	0	0	4
YOR352W	0.78	1.45	1.67	1.48	1.19	0.98	0.87	4
YOR353C	0.87	0.72	0.91	0.82	0	0.71	0	4
YOR354C	1.2	1.41	2.27	1.83	1.63	1.09	0.96	4
YOR355W	1.9	1.11	0.89	0.88	1.26	1.01	1.39	4
YOR356W	1.32	1.53	1.57	1.49	1.33	1.32	1.07	4
YOR357C	1.34	2.21	2.07	2	1.97	1.53	1.63	4
YOR358W	0	0	0	0	0	0	0	4
YOR359W	1.48	0.99	1.07	1.43	1.04	1.12	1.22	4
YOR360C	2.53	1.9	1.7	1.91	2.12	2.51	2.53	4
YOR361C	3.95	2.62	2.48	1.96	2.17	2.79	2.6	4
YOR363C	1.3	1.04	1.47	1.12	1.13	1.15	1.37	4
YOR364W	0	0	0	0	0	0	0	4
YOR365C	0	0	0	0	0	0	0	4
YOR366W	0	0	0	0	0	0	0	4
YOR367W	0	0	0	0	0	0	0	4
YOR370C	2.84	2.21	1.96	1.96	2.57	2.45	2.5	4
YOR371C	0.93	0.69	0.83	0.81	0.91	0.72	0.87	4
YOR372C	1.38	1.24	1.22	1.07	1.31	1.13	1.45	4
YOR373W	0.96	1.21	1.1	1.21	1.02	0.85	0.84	4
YOR376W	0	0	0	0	0	0	0	4
YOR377W	1.37	0.89	1.04	0.92	0.98	0.82	1.11	4
YOR378W	0	0	0	0	0	0	0	4
YOR379C	0.84	0.61	0.64	0.73	0.8	0.7	0	4
YOR380W	0.47	0.49	0.53	0.57	0.56	0.52	0.49	4
YOR381W	0.74	0.52	0.68	0.73	0.59	0.74	0.56	4
YOR383C	3.28	4.87	6.04	8.72	8.13	6.79	6.79	1
YOR384W	0	0	0	0	0	0	0	4
YOR385W	0.91	0.98	0.84	0.73	0.94	3.97	1.83	4
YOR387C	1	1.4	1.46	1.47	1.34	0.79	1.02	4
YOR388C	0.6	0.47	0.61	0.51	0.42	0.39	0.42	4
YOR389W	0.69	0.75	0.81	1.32	1.32	1.18	1.05	4
YOR390W	0.84	0.61	0.57	0.5	0.57	0.52	0	4
YOR391C	0	0	0	0	0	0	0	4
YOR392W	0	0	0	0	0	0	0	4
YOR393W	0	0	0	0	0	0	0	4
YOR394W	0.41	0.54	0.36	0.43	0.39	0	0.42	4
YPL001W	1.38	1.27	1.14	1.18	1.56	1.38	1.93	4
YPL002C	1.68	2.3	1.94	2.05	2	1.93	2.07	4
YPL003W	0	0	0	0	0	0	0	4
YPL005W	0.6	0.68	0.78	0.55	0.56	0.64	0.68	4
YPL006W	1.07	0.99	1.2	1.34	1.14	0	0.8	4
YPL007C	0	0	0	0	0	0	0	4
YPL008W	0.89	0.81	0.86	0.73	0.77	0.63	0.78	4
YPL010W	3.48	5.54	5.07	5.32	6.07	6.28	4.86	1
YPL011C	1.61	0	0	1.2	1.46	0	0	4
YPL012W	1.86	0.63	0.71	0.5	0.3	1.37	1.19	4
YPL013C	3.65	5.23	5.34	4.53	5.27	6.1	3.65	1
YPL014W	1.5	1.9	2.72	2.18	2.04	8.54	1.51	4
YPL015C	1.85	2.63	2.6	2.39	2.07	2.39	1.35	4
YPL016W	1.11	1.17	1.11	1.03	0.99	0.94	0.95	4
YPL017C	0	0	0	0	0	0	0	4
YPL018W	0.81	0.83	0.97	0.96	1.19	1	0.75	4
YPL019C	1.38	0.9	0.9	0.7	0.89	1.09	0.86	4
YPL020C	1.27	1.32	1.38	1.09	1.3	0.9	1.28	4
YPL021W	0	0	0	0	0	0	0	4
YPL023C	1.4	1.4	1.3	1.36	1.5	1.26	1.07	4
YPL024W	1.3	1.73	1.79	1.56	1.79	1.27	1.48	4
YPL025C	0	0	0	0	0	0	0	4
YPL026C	1.47	1.58	1.53	1.37	1.68	1.28	1.8	4
YPL027W	0	0	0	0	0	0	0	4
YPL029W	0.56	0.41	0.62	0.42	0.47	0.43	0.47	4
YPL030W	1.58	0.99	1.38	0.99	0.99	1.28	1.21	4
YPL031C	1.22	1.93	1.8	1.77	1.8	1.59	1.28	4
YPL032C	1.84	1.71	1.59	1.5	1.39	0.61	1.37	4
YPL033C	0	0	0	0	0	0	0	4
YPL034W	1.68	2.59	2.7	2.3	2.63	3.1	1.64	4
YPL035C	0.77	0.94	0.6	0.94	0.94	1.14	0.9	4
YPL036W	1.94	1.36	1.27	1.01	1.11	1.48	1.48	4
YPL038W	1.1	0.99	1.08	1	0.89	0.71	1.01	4
YPL039W	1.28	1.14	1.44	1.13	1.04	1.06	1.28	4
YPL042C	0.72	0.7	0.78	0.81	0.73	0.66	0.68	4
YPL044C	0	0	0	0	0	0	0	4
YPL045W	0.74	0.6	0.62	0.6	0.7	0.6	0.75	4
YPL046C	1.26	1.35	1.57	1.3	1.21	1	1.11	4
YPL047W	0.94	0.98	0.93	0.93	0.9	0.94	0.7	4
YPL049C	1.32	1.42	1.54	2.09	1.75	1.55	1.32	4
YPL050C	2.13	2.03	1.68	1.59	1.96	1.71	2.07	4
YPL051W	1.74	2.02	1.87	1.7	1.82	1.58	1.93	4
YPL052W	0.8	1.15	1.25	1.32	1.36	1.92	1.29	4
YPL053C	2.46	2.66	3.1	2.99	3.53	3.03	2.89	4
YPL054W	0	0	0	0	0	0	0	4
YPL055C	1.49	1.77	2.27	3.52	2.88	3.19	2.31	4
YPL056C	1.1	1.66	1.64	0.99	1.31	2.01	1.03	4
YPL057C	2.06	3.61	3.63	3.44	3.21	4.14	3.03	4
YPL062W	0	0	0	0	0	0	0	4
YPL063W	1.42	1.72	1.69	1.45	1.75	2.76	1.33	4
YPL065W	0.8	1.18	1.03	1.01	1.2	0.89	0.98	4
YPL066W	1.07	1.23	1.18	1.19	1.16	1.5	1.28	4
YPL067C	1.73	2.07	1.56	1.81	1.9	2.77	2.17	4
YPL068C	0	0	0	0	0	0	0	4
YPL069C	0.77	0.7	0.63	0.54	0.71	0.75	0.7	4
YPL071C	0.94	1.22	1.04	1.04	1.07	1.26	1.12	4
YPL073C	0	0	0	0	0	0	0	4
YPL074W	1.12	0.91	1.13	1.05	1.02	0.89	0.8	4
YPL075W	0.8	0.49	0.5	0.52	0.63	0.72	0.63	4
YPL076W	0.97	0.88	0.85	1.03	0.77	1.17	0.97	4
YPL077C	0	0	0	0	0	0	0	4
YPL078C	5.6	10.96	9.68	7.18	6.89	5.92	5.37	1
YPL079W	35.48	43.08	25.26	15.99	15.66	23.09	24.92	2
YPL080C	0.61	0.72	0.52	0.49	0.47	0.53	0.52	4
YPL081W	6.23	6.68	4.23	3.12	3.6	4.5	5.31	4
YPL083C	0.82	0.69	0.7	0.67	0.82	0.74	0.84	4
YPL084W	0.92	0.97	1.14	1.08	1.05	0.67	0.79	4
YPL086C	1.66	0.85	0.6	0.55	0.68	1.03	1.33	4
YPL087W	2.95	7.21	5.21	9.99	9.01	9.07	4.14	1
YPL088W	2.31	2.36	2.58	3.45	3.8	17.1	6.13	1
YPL089C	0.93	0.48	0.86	0.83	0.88	1.26	1.16	4
YPL090C	17.26	24.07	14.02	7.94	6.54	9.12	11.07	1
YPL092W	1.28	0.88	1.09	1.03	1.1	0.8	0.88	4
YPL094C	3.18	2.83	2.81	2.99	4	5.42	4.47	4
YPL095C	1.04	1.24	0.96	1.1	1.16	1.12	1.18	4
YPL096W	0.72	0.98	1.03	1.03	0.89	0.79	0.82	4
YPL097W	1	1.61	1.37	1.94	2.06	1.02	1.06	4
YPL098C	1.95	2.92	2.96	2.92	2.88	2.43	1.95	4
YPL099C	0.81	1.33	0.85	1.31	1.44	1.24	0.96	4
YPL100W	0.92	0.92	1.17	1.11	1.02	0.84	1.16	4
YPL101W	1.07	0.68	0.6	0.63	0.75	1.13	1.12	4
YPL102C	0	0	0	0	0	0	0	4
YPL103C	0.8	0.91	0.92	0.84	0.97	0.8	0.84	4
YPL104W	1.07	1.43	1.7	1.8	1.73	1.03	1.06	4
YPL105C	1.7	1.15	1.15	1.12	1.58	1.15	1.39	4
YPL107W	0.83	1.02	1.03	1.07	1.19	1.25	1.31	4
YPL108W	0.57	0.37	0.35	0.34	0.36	0.48	0.53	4
YPL109C	0.56	0.87	0.99	0.85	0.78	0.76	0.58	4
YPL110C	0.76	0	0.8	0.66	0.74	0.62	0.66	4
YPL112C	1.08	1.18	1.08	0.9	0.93	0.6	0	4
YPL113C	0.5	1.02	1.4	1.38	1.14	0.49	0.46	4
YPL114W	0.57	1.24	1.39	1.13	1.23	0.43	0.49	4
YPL115C	1.03	0.79	0.73	0.93	0.76	0.72	0.75	4
YPL118W	1.51	2.25	2.71	2.33	2.1	1.41	1.54	4
YPL119C	0.71	1.16	1.39	1.84	1.7	1.26	0.82	4
YPL120W	0.73	0.88	0.98	0.87	0.85	0.59	0.81	4
YPL121C	0	0	0	0	0	0	0	4
YPL122C	0.88	0.64	0.55	0.52	0.57	0.76	0.82	4
YPL123C	1.94	5.15	5.01	6.08	4.64	2.27	2.13	4
YPL124W	0	0	0	0	0	0	0	4
YPL125W	1.67	1.15	1.37	1.1	1.15	1.22	1.17	4
YPL126W	1.1	0.28	0.22	0.26	0.29	0.91	0.87	4
YPL128C	1.1	0.72	0.69	0.76	0.82	0.76	1	4
YPL129W	2.14	2.64	2.23	2.04	2.14	2.33	2.26	4
YPL130W	0	0	0	0	0	0	0	4
YPL132W	1.01	1.31	1.5	1.45	1.18	1.09	1.02	4
YPL133C	1.01	0.91	0.96	1.06	0.9	0.9	1.02	4
YPL134C	0.88	1.15	1.5	1.64	1.64	1.5	1.27	4
YPL135W	3.61	4.99	4.72	5.5	6.64	5.43	5.24	1
YPL136W	0	0	0	0	0	0	0	4
YPL138C	0.92	0.74	0.84	0.85	0.83	0.83	1.12	4
YPL139C	1.3	1.61	1.65	1.47	1.4	1.35	1.23	4
YPL140C	0.59	0.53	0.59	0.57	0.53	0.5	0.67	4
YPL141C	0.86	0.58	0.7	0.68	0.77	0.45	0.84	4
YPL142C	11.47	15.67	9.99	6.59	5.98	7.78	9.25	1
