	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YHL001W	747	329	1248	711	87	205	444		19.5	23.19	13.88	9.55	10.16	13.23	15.84
YER055C	3902	3217	3049	2101	3165	1887	1891	1152	8.22	6.23	3.94	2.79	3.86	4.92	4.43
YNL255C	1435	1113	2142	1428	326	1432	1761		4.12	4.41	2.64	1.89	2.18	4.09	4.15
YKL006W	58389	63742	63765	49886	41517	34013	38178	29047	27.12	30.72	17.89	11.64	11.4	17.05	20.84
YBL027W	17581	20131	22309	21207	21663	18969	20665	20655	29	42.46	24.39	16.2	14.5	21.23	22.29
YKL081W	265	219	130	200	394	255	345	564	27.58	21.49	13.23	10.24	10.24	13.51	19.91
YLR048W	17240	21121		17403			10315	9031	20.23	21.38	11.54	7.51	7.3	10.33	14.61
YDR450W	12090	14283	7169	7620	15634	10905	6513	3772	21.98	29.61	20.5	10.99	10.54	14.7	15.87
YNL302C	53074	76691	57812	60395	58625	60630	51027	54139	27.65	31.1	19.96	18.24	13.73	12.03	18.24
YOR293W	5485	3019	4214	3954	4977	2080	4367	2222	18.03	21.89	11.89	7.74	7.22	10.07	11.73
YDL082W	6364	7000	6619	25996	7146	5659	5749	5065	19.52	24.37	14.79	8.38	9.17	12.7	13.43
YLR150W	9011	9688	13702	9341	9988	8091	8387	6877	28.06	36.77	24.94	16.57	14.03	15.14	20.26
YAL003W	32124	38444	31521	31821	40667	44772	24202	28135	25.55	32.12	26.27	16.86	16.4	19.91	23.84
YOR095C	853	560	333	533	755	578	677	486	3.04	1.49	0.58	0.55	0.7	2.16	2.47
YMR142C	31331	32098	34012	30590	26116	18276	23785	19412	14.17	19.22	11.35	6.94	6.65	9.09	9.48
YBR191W	19499	29416		17929	21819	16228	22570	19417	49.18	64.89	38.85	23.59	22.63	34.54	37.27
YDR399W	3468	3183	2753	3761	4172	3606	2673	3526	7.37	2.28	0.96	1.1	1.7	4.12	3.76
YPL273W	889	1186	768	1410	1468	1416	1054	1596	3.23	3.16	1.78	1.2	1.49	2.38	2.74
YGR180C	392	268	329	425	447	484	381	661	9.43	11.22	7.56	5.2	5.2	6.81	8.04
YML063W	764	760	1563	990	1996	1104	2060	1170	23.66	33.69	18.69	10.88	9.22	14.87	15.39
YPL117C	2793	3465	3162	3489	4008	2960	4235	3304	2.59	2.34	1.61	1.37	1.59	2.52	2.21
YGR285C	1158	1617	2389	1745	2045	1178	2130	2462	12.32	12.07	7.53	5.91	6.88	9.34	11.82
YLR029C	11332	11157	8898	7058	9656	4661	7061	6043	38.4	56.61	28.11	15.38	12.67	22.68	26.41
YDL136W	37104	30357	34453	29199	38619	22968	32481	20234	21.49	30.18	20.19	12.01	11.6	15.3	17.22
YHL015W	14871	18202	17021	16031	17366	14671	12620	12054	57.12	87.17	66.06	34.92	30.19	38.74	43.89
YLR441C	8654	5394	10292	8767	12607	10790	14330	12408	25.88	28.12	16.26	9.81	9.6	15.82	18.17
YJR123W	39938	54721	28881	33839	49086	38201	27033	22218	52.84	61.97	37.11	24.82	21.61	31.2	34.38
YDR226W	16742	14938	14053	18540	20189	19509	17064	19372	17	25.59	18.86	15.11	15.64	20.36	18.35
YBR181C	25626	26453	26342	26064	30289	22120	23739	23040	30.04	45.53	28.02	14.71	14.11	21.39	24.4
YGL076C	14926	12917	11389	13694	15482	13239	12521	11545	32.06	37.87	18.93	13.11	12.84	17.91	23.15
YPL131W	11666	11856	8490	9336	13500	10537	8373	7433	48.72	49.06	26.29	16.07	17.11	31.27	36.42
YDL051W	1750	1794	1452	1954	1956	1997	1846	2073	3.83	2.6	1.84	1.26	1.57	3.07	3.45
YKL180W	18794	19024	23645	19130	23809	15200	19810	14004	30.67	38.02	23.9	14.41	15.34	22.92	25.09
YBR031W	52442	54248	69699	41827	1625	33078	32456	30411	32.25	37.82	19.99	14.23	15.79	23.28	22.64
YLR420W	1405	1241	900	790	1329	583	731	641	2.61	2.49	1.64	1.62	1.54	1.8	2.17
YLR355C	14090	12671	9676	11385	13147	10952	8840	9734	10.01	6.42	3.9	4.7	6.42	5.99	6.42
YMR116C	16032	21870	10989	12082	18437	11917	7863	8095	52.33	55.31	29.85	22	18.89	20.39	29.85
YNL096C	15225	12772	11155	14566	12386	9122	8717	8414	18.59	18.2		7.44	9.49	13.05	13.89
YGL123W	12875	13371	12269	11983	15640	9166	10768	8115	62.41	74.22	42.92	28.12	26.24	36.85	45.06
YBR249C	2051	2106	1239	2753	2202	2690	2322	2742	6.47	6.47	3.49	2.27	2.27	4.21	4.84
YOR096W	21900	20733	19331	18145	21222	13463	13395	12894	30.86	37.99	22.9	13.62	13.62	20.64	25.06
YHR025W	4302	5165	5175	6185	4860	5665	5960	6085	6.28	5.98	3.95	3.89	3.84	5.03	6.64
YLR058C	3256	1861	1946	2518	4075	2484	3509	2991	14.44	5.63	3.32	4.18	5.91	7.22	7.79
YAR071W	315	320	250	117	409	248	214	77	0.93	0.46	0.22	0.2	0.32	0.54	0.32
YBR092C	288	73	180		223	180	70	82	2.85	1.39	0.68	0.68	0.91	1.26	1.06
YBR121C	3273	2453	2665	2765	3641	2054	3123	2663	11.11	9.68	6.34	5.44	6.65	7.91	9.88
YJR016C	843	689	434	530	1162	801	522	646	3.91	2.61	1.37	1.17	1.41	2.54	3
YGR185C	1864	1453	1425	2107	2741	2008	2574	2390	4.01	3.56	2.68	2.24	2.9	2.72	3.82
YLR359W	4278	3228	3311	2881	4358	2079	2562	1821	6.62	3.91	1.98	1.92	2.58	3.24	3.91
YLR060W	3483	2676	2821	3327	3474	2340	3091	2448	5.55	5.03	3.82	3.21	3.76	5.1	5
YDR023W	6748	5644	7721	6369	7438	6067	5941	5890	9.86	9.39	6.11	3.46	4.44	6.51	7.32
YBL024W	455	380	569	464	534	334	483	613	2.09	0.96	0.75	0.71	0.9	1.31	1.36
YOR168W	980	889	946	708	1110	676	619	712	4.99	3.43	2.69	2.25	2.69	3.34	3.73
YLR432W	2912	2426	1804	2488	2669	1947	3130	1281	2.95	2.13	1.24	1.03	1.24	2.71	2.81
YJL138C	1038	1003	938	942	674	957	679	596	16.52	16.98	10.6	8.26	8.91	14.99	15.52
YMR120C	1943	1292	1488	2291	2847	1808	2818	3048	7.91	2.94	1.27	1.66	2.54	2.21	2.14
YBL076C	1796	1611	1164	1416	2075	1292	1431	1375	3.9	1.87	1.72	1.52	1.83	2.61	2.9
YHR019C	1972	1171	1648	2117	2845	1072	2431	1811	6.95	6.53	4.1	3.2	3.2	4.95	5.42
YMR131C	111	188	164	125	214	135	282	197	3.28	1.64	0.72	0.75	1.02	2.33	2.59
YDR234W	132	108	161	111	391	92	145	281	1.85	0.82	0.48	0.54	0.52	1	1.4
YDR111C	189	120		184	282		339	211	0.74	0.41	0.31	0.28	0.33	0.44	0.45
YOR335C	1954	1757	1428	1506	2417	1355	1808	1518	3.02	1.63	1.27	0.97	1.24	1.97	2.26
YDR037W	5993	5267	6080	6368	6515	5149	6275	5564	7.93	6.09	3.73	2.69	3.24	6.9	6.35
YIL078W	1766	1033	956	1247	1773	990	1374	1032	16	13	9.92	7.52	8.17	12.47	14.73
YGR264C	426	392	353	405	701	462	534	757	3.65	2.04	1.21	0.99	1.32	1.9	2.41
YLR249W	332	197	301	218	164	447	100	285	39.96	18.77	9.58	6.41	9.58	29.26	30.29
YDR385W	1668	1349	1283	923	1362	2171	868	3627	23.23	17.85	11.38	10.25	11.14	16.31	18.61
YDL077C	53	31	46	102		32	77	34	0.95	2.32	0.65	0.63	0.69		0.58
YCL030C	740	658	894	1035	1215	688	887	583	3.79	1.67	1.18	1.02	1.25	1.25	1.67
YPL160W	4240	3638	3505	3212	4222	2412	2981	2884	4.09	2.94	2.42	1.85	2.34	2.86	3.49
YOL123W	153	156		186	531	296	206	369	2.39	2.08	1.53	0.98	1.08	1.29	2.2
YGR061C	3401	3049	2040	2470	2742	1763	1729	1621	2.85	1.28	1.17	0.85	1	1.16	1.41
YJR031C	31	50	41	63	76	34	85	83	0.99	0.68	0.62	0.48	0.62	0.48	0.97
YJL130C	66	49	66	88	101	31	74	95	4.83	3.81	3.61	3.58	2.91	3.95	4.35
YLL050C	6316	7069	6939	6275	8658	7400	7679	7101	15.07	27.35	25.69	26.42	28.51	29.51	23.64
YDR519W	876	768	274	726	894	634	1057	745	3	3.77	3.46	4.42	6.2	9.14	7.17
YDL046W	2135	1024	2046	2332	1692	1423	1507	1181	5.44	12.51	16.73	16.5	18.18	10.3	7.44
YPL059W	1444	1264	1848	1703	1212	1591	1512	1891	3.02	5.33	5.4	5.67	6.08	4.9	3.87
YGR037C	2028	2884	1083	1970	4782	4134	3188	8837	12.7	24.54	25.76	25.93	25.58	34.46	26.11
YDL125C	3624	2779	1734	2730	3108	2129	2005	2374	7.3	15.87	16.55	15.12	15.66	26.15	13.26
YML078W	4005	4073	6274	5326	4473	4849	4484	4863	5.96	9.54	9.35	10.09	11.27	11.35	8.03
YKL192C	895	1551	607	826	1316	2072	1631	1158	3.72	8.09	10.38	10.16	9.95	7.34	4.88
YER062C	242	91	171	140	381	141	563	439	3.53	3.94	4.92	5.94	7.94	18.12	6.96
YJL217W	940	529	555	823	1125	910	879	580	3.56	8.07	11.1	12.4	11.49	6.93	5.59
YML028W	1581	1686	662	1493	3437	3656	3127	5950	33.03	122.41	137.72	156.02	144.56	142.57	103.65
YML092C	810	582	264	670	829	655	1133	1199	3.65	6.53	7.04	7.34	7.92	9.42	5.26
YJR009C	85355	77143	62440	64942	89246	61676	51073	50921	61.55	106.43	93.29	113.28	104.96	136.59	72.19
YJR025C	996	697		641	1622	835	1140	1204	1.68	3.45	4.14	4.17	3.86	5.77	4.43
YJR139C	8094	6996	5234	7620	8144	6439	6304	7101	7.58	9.01	8.35	9.39	11.09	11.73	10
YLR301W	2613	1932	1168	2137	2214	1717	2223	1872	4.5	6.73	6.63	6.28	6.92	7.94	7.36
YGR253C	914	1045	455	737	2353	1132	1534	872	3.8	6.38	7.49	7.59	7.54	9.15	5.71
YDR368W	1032	976	822	1089	1732	1156	1414	1569	2.24	5.32	6.28	5.94	6.92	6.03	4.57
YCR012W	59754	71575	55471	76244	89905	82716	75807	77409	110.01	192.88	203.87	226.21	267.16	290.33	171.44
YKL152C	24796	32331	30051	36643	40442	33986	37464	38113	122.05	212.51	179.94	177.46	203.85	259.82	161.05
YNL160W	1677	1025	885	1625	1846	793	1806	629	7.51	32.87	58.44	76.05	61.34	36.98	13.92
YBR035C	891	1193	666	781	1393	1044	1262	1301	2.71	5.02	5.19	4.13	4.88	3.78	3.33
YGR254W	67299	65974	48500	74143	109052	90034	91128	78644	41.85	68.45	54.83	61.69	60	88.46	49.08
YHR174W	219779	207634	184593	216965	304130	267333	220562	234131	226.55	357.97	320.39	338.66	309.48	531.41	269.42
YMR314W	845	904	345	652	1654	1087	1098	1331	2.92	6.44	7.25	6.86	5.57	7.1	4.82
YOR362C	435	756		257	1262	774	401	391	5.28	12.83	14.94	15.47	13.19	14.24	8.58
YGR135W	660	659	308	535	1327	784	1053	1139	4.25	8.44	10.68	11.36	9.36	11.93	7.04
YBR111C		295		301	363	236	215	324	3.6	6.99	8.61	9.23	8.98	8.37	5.37
YHR163W	731	808	364	489	994	560	1052	923	4.22	15.11	15.86	13.34	14.49	14.59	10.76
YBR221C	616	906	688	705	1219	722	1473	731	7.79	10.95	10.57	11.9	13.29	11.73	10.43
YER023W	1781	1507	1755	1672	2032	2256	1947	2617	2.52	3.46	3.25	2.97	3.56	3.44	2.89
YMR226C	4830	3438	3693	4362	4875	3561	3313	3608	3.6	5.84	6.76	6.85	6.53	8.98	6.09
YHR008C	2130	2391	808	2483	4317	3245	2521	3388	3.35	11.04	9.81	6.94	9.88	11.11	4.71
YJR148W	3608	3392	2452	2838	4300	3861	3255	3259	6.93	11.02	11.73	17.41	24.12	20	14.54
YPR103W		111			152	164	64		5.91	12.49	14.15	14.65	15.92	16.37	9.67
YLR231C	748	546	233	778	785	460	742	790	0.92	1.07	1.07	1.22	1.66	1.84	1.92
YBR026C	222	96			201	90	113	201	1.33	3.07	3.8	4.07	3.13	2.56	1.62
YJL167W	4731	3460	4013	3787	4888	3343	4040	3838	6.64	10	9.79	9.46	9.93	10.94	9.93
YHR183W	5654	5743	5342	7107	9284	8745	10363	10993	10.88	25.53	30.36	23.49	22.38	26.98	42.34
YER178W	1005	744	841	1034	1523	962	1244	986	9.38	11.87	12.46	14.82	16.79	15.88	13.26
YMR099C	768	605	551	368	1118	658	892	1063	1.74	2.67	2.56	2.54	3.15	3.15	2.63
YNL079C	552	478	429	384	866	586	752	1385	8.24	12.23	14.34	14.54	13.11	18.28	14.54
YFR044C	4220	3396	3303	3513	4919	3945	3191	3445	6.54	9.78	10.12	12.2	11.95	11.39	9
YOL038W	569	299	325	585	739	472	662	431	5.1	9.79	12.05	11.56	12.92	11.81	8.58
YEL047C	1457	1238	1226	1213	1601	1050	1066	1017	1.41	1.73	1.55	1.61	2.07	2.64	1.84
YOR007C	4190	3838	4203	4671	5063	5979	5696	6546	7.42	17.16	20.98	20.83	22.48	23.77	19.44
YBR286W	3895	3238	1892	2206	4216	2582	2343	2728	8.52	12.74	15.36	21.28	23.78	21.58	13.19
YLR303W	3330	2903	2028	3174	5241	4233	4717	5780	14.89	66.07	94.09	102.25	108.08	112.67	59.96
YER177W	3223	1735	2389	2583	2888	3365	2613	3538	28.3	51.72	59.83	60.66	72.14	68.25	44.1
YNL071W	1244	1032	1053	1103	1694	1419	1335	1137	3.86	5.49	6.81	7.25	8.86	7.25	5.73
YOL083W		143	152	169	145		216	123	0.75	2.04	2.51	3.64	3.93	2.32	1.94
YCL043C	2565	2477	1679	2560	4068	3646	3764	4556	10.88	17.68	21.03	34.87	42.34	50.35	36.86
YOR117W	213	85		92	138	298	86	327	2.51	4.71	5.45	5.6	6.13	6.13	3.93
YCR088W	669	650	560	746	813	851	841	660	1.32	1.88	2	2.36	2.75	1.96	1.75
YIL041W	1793	1251	2413	1359	1777	1220	1700	1409	2.79		4.17		4.03	4.82	
YMR186W	457	368	276	123	439	966	437	618	14.23	36.77	47.52	37.8	42.24	32.23	38.86
YNL208W	538	511	1093	420	863	1963	1604	2559	4.93	22.16	32	27.1	77.18	84.46	35.76
YHR074W	190	143	129	140	344	117	90	171	0.97	1.08	1.14	1.41	1.38	1.31	1.18
YLR429W	162	220	139	177	305	120	377	413	1.98	2.26	2.56	2.69	3.11	3.4	3
YNL123W	56	37		31	63	75	56	42	2.03	1.45	1.71	1.84	2.07	2.68	2.4
YEL037C	1061	801	566	765	1287	731	1150	704	1.48	2.3	2.69	2.66	3.29	2.81	2.01
YFL010C	23458	27454	31721	32553	28716	34845	31997	30272	2.18	3.78	3.85	4.49	4.37	4.49	3.72
YMR276W	478	279	329	243	536	303	226	234	3.16	5.9	5.5	3.58	6.41	8.94	5.35
YKL157W	325	209	89	216	553	358	337	320	2.6	2.49	3.43	4.13	4.31	4.25	3.65
YOR027W	1031	1035	997	652	1077	1210	889	1252	3.09	11.51	14.18	8.79	8.03	7.29	7.7
YJL020C	139	109	156	130	100	185	152	112	0.92	1.46	1.7	2.1	2.33	1.19	1.15
YFL028C		74			156	84	112	162	2.34	3.17	3.17	2.67	2.8	2.88	2.61
YJL214W		241			1117		606		0.33	0.49	0.56	0.65	0.28	0.31	0.29
YKR066C	181	45	115	192	226	198	311	234	1.66	4.39	4.07	3.98	2.61	1.75	1.81
YIL062C		71			422	193	74	275	3.58	7.84	8.46	7.31	6.73	5.28	3.78
YMR105C	88	169	196	559	1336	1049	481	457	0.82	8.14	14.67	12.17	7.59	1.28	1.44
YFR053C	47	219	234	946	1901	1178	1318	1405	3.59	42.34	77.92	44.76	26.25	7.49	4.77
YNR001C	247	219	383	416	722	640	433	683	2.05	6.09	6.09	5.72	4.78	2.49	1.75
YML120C	1107		1725	2624	2142	2148	3541	3509	0.7	1.7	1.49	1.45	0.87	0.81	0.77
YJR125C	61	106			131			222	2.84	5.12	3.45	5.19	5.26	2.84	3
YNL098C	240	362	581	676	527	585	416	711	3.13	6.08	5.52	6.61	5.44	3.31	2.94
YHR037W	104		123	106	285	154	190	203	1.33	1.48	1.44	1.97	1.39	1.42	1.17
YGR130C	16	29	24	48	222	88	153	143	1.17	2.12	2.78	2.58	2.8	0.98	1.42
YBL063W		109	93	223		238	315	447	0.66	0.8	0.9	0.79	0.8	0.54	0.69
YBR136W	21	3	16	11	34		16	25	3.2	4.55	4.91	4.84	5.26	2.8	3.09
YBL047C	26	90		24	211	125	100	130	3.07	4	4.11	4.19	4.4	2.41	2.77
YGL040C	860	417	250	515	941	561	886	651	2.4	3.3	3.51	3.61	3.19	3.15	2.38
YJL052W	23180	968	1088	13746	19855	14224	10342	8834	38.54	64.82	71.92	92.3	80.91	102.42	51.21
YGL011C	446	284	58	186	1009	478	456	575	8.17	17.03	18.13	18.26	18.01	17.51	11.63
YDR174W	378	428	215	339	533	426	554	767	6.67	9.05	10.32	8.86	10.39	9.7	7.15
YOR332W	1065	865	720	657	1722	1186	936	1947	5.48	8.85	8.55	7.54	7.92	8.31	6.89
YGL157W		120	22		293	264	208	228	2.5	3.95	4.01	4.97	5.43	6.33	4.32
YDR148C	549	308	155	710	673	488	485	1094	1.04	1.84	1.68	1.84	1.64	1.16	1.09
YOR232W	266	401	168	357	735	383	496	747	3.78	5.57	6.05	5.05	4.62	4.75	3.67
YGL221C	493	552	63	319	968	485	664	648	2.44	3.27	3.29	3.31	4.05	4.59	3.8
YNL045W	201	88	33	160	240	227	183	468	2.09	3.04	4.07	4.61	4.18	3.28	2.82
YOL057W	30	121	11		126	168	60	166	1.17	1.01		1.13	1.58	1.53	1.6
YOR151C	93	53	28	142	167	134	115	186	4.28	4.31	4.46	4.25	5.12	4.25	4.28
YJR090C		81	68	100	118		101	105	1.11	1	1.22	1.07	1.12	0.99	0.98
YBL007C	28	16	5		32			35	2.06	2.12	2.8	2.95	2.68	1.9	1.96
YHL030W	22	20	4		36	20	45		1.28	1.71	2.46	2.76	3.13	1.97	1.25
YJL121C	1152	390	1320	1042	1664	1018	1566	1457	2.68	2.15	1.74	1.68	1.64	2.38	3.14
YOR251C		26			129	48		144	1.29	1.3	1.06	0.97	1.19	1.68	1.68
YDR298C		52			193	61		308	3.15	5.57	4.59	3.38	3.18	3.5	3.09
YKL214C	38	54			114	21	203	156	0.9	1.04	0.86	0.94	0.72	1.03	0.79
YDR418W	1567	1561	2189	3376	4175	2645	9999	34324	39.74	51.72	25.5	18.67	19.87	28.3	29.09
YHR128W	335	1325		1294	3075	1855	1840	2521	4.51	3.51	2.21	2.3	3.02	3.79	2.84
YPR073C		71			467	530	414	848	1.61	2.33	2.14	2.1	1.62	1.89	2
YBR101C		73	105	115	745	587	485	399	1.63	4.55	3.77	2.14	2.74	3.11	3.45
YML001W		84			234	175	367	163	5.31	8.44	8.62	6.31	7	7.51	6.62
YLR192C		93	208	741	843	541	499	1219	4.31	5.65	5.38	4.53	4.69	5.73	5.31
YDR469W	103	152			961	234	412	258	1.16	1.11	0.93	0.86	1.01	1.11	1.13
YPL237W	71		48	225	189			174	6.93	7.74	5.36	4.24	4.45	5.87	5.99
YGL067W		54			163	52	173	141	1.26	1.35	1.16	1.14	1.37	1.41	1.31
YHR049W	196	334	286	757	952	423	957	878	3.75	5.49	4.74	3.22	3.04	4.98	4.68
YGR155W	224	393	205	791	1372	996	2190	2409	7.95	10.48	8.28	7.21	7.95	10.48	8
YIL138C		22			176	160		86	3.35	3.88	4.01	3.42	3.42	3.33	4.12
YHR069C	84	56	94	213	171		185	194	1.69	0.91	0.68	0.76	1.05	1.83	1.81
YDR035W		103		211	757	343	603	962	3.16	3.03	2.69	2.57	3.23	4	2.97
YML074C	430	265	438	988	888	1169	1413	1678	4.9	2.93	2.7	2.4	3.49	4.06	5.32
YBR025C	44	77		71	93	270	187	236	9.88	12.86	10.09	7.14	7.24	10.67	11.67
YFR006W	5	117			134	99	63	260	1.61	2.4	2.34	2.24	2.3	1.64	1.69
YPR163C	64	65	230	418	299	249	432	679	4.86	3.87	2.37	1.63	2.05	3.44	4.26
YPR145W	1795	2997	2580	3363	4040	3462	3885	4917	8.48	9.22	7.86	6.84	6.99	6.13	8.91
YGL043W		19	20	78	110		60	132	1.55	1.35	1.17		1.44	1.51	1.5
YIL021W	91	15		136	199	66	238	192	2.35	2.52	2.66	2.24	2.48	2.24	2.36
YPR033C	153	140	187	275	381	155	347	507	4.94	4.18	2.94	2.52	2.86	4.21	5.22
YDR502C	19	289		625	1540	412	2308	761	2.63	4.33	3.42	2.98	2.56	3.47	2.74
YLR335W	11	40	27		72	60	50	125	2.13	1.66	1.52	1.22	1.6	1.45	1.9
YPR180W		64			155	60	202	336	0.8	0.91	0.99	0.93	0.98	0.89	0.92
YPL070W		24			66		170		0.89	1.01	1.11	1.05	0.91	1.09	0.98
YKR028W	8			27	9		51		1.16	0.79	0.78	0.76	0.89	0.77	0.91
YER103W	34	67	31	139	4383	3707	4853	4715	2.38	11.56	19.04	11.4	9.79	12.92	10.06
YLL029W	6			10			43		1.03	1.26	1.19		1.45	1.22	
YGR240C	1038	1789	1990	2338	3653	2073	3085	2450	7.41	4.82	4.23	4.23	4.96	7.73	5.28
YHR020W	8	51	36	56	87		95		5.15	2.98	1.44	1.08	1.49	3.19	3.62
YDL060W	13	28	122	93	52			114	2.04	1	1.06	0.57	0.87	1.2	1.63
YFR038W	17	34		39	34		93	40	0.68	0.39	0.36	0.74	0.43	0.51	0.61
YDR127W	62	116	66	85	342	239	114	263	3.02	2.54	2.36	2.2	2.24	2.39	2.56
YJL076W	72	12		65	85			59	0.9	0.47	0.4	0.42	0.5	0.53	0.78
YDL145C	27			48		43	51	90	3.6	3.33	3.57	3.72	3.91	3.45	2.8
YDR464W	45	11	27	38		34		58	1.29	0.88	0.82	0.88	0.86	0.82	1.08
YDL171C		27	26	81	342	126	205	291	2.09	1.38	1.23	1	1.25	1.15	0.99
YOR341W		16	25	12	59	28	149	194	2	0.6	0.52	0.74	0.82	1.32	1.41
YPL231W	266	401	315	685	955	686	1100	1538	6.44	4.31	3.75	3.09	3.99	4.75	5.49
YDR002W	539	669	556	442	1554	921	1195	1290	12.05	18.39	16.01	11.72	11.48	14.13	14.43
YER030W	145	256			457	299			3.2	5.06	5.66	5.17	6.23	4.38	4.2
YAR053W	153		101	225	99	219			0.45	0.38	0.38	0.43	0.44	0.43	0.42
YLR406C	451	99	985	391	238	191	569	428	15.82	14.36	11.91	9.95	8.78	7.91	8.31
YDL121C	521	290			1255				1.81	1.9	1.5	1.45	1.21		
YBR009C	1795	1151	3018	2295	2913	1596	2801	1988	15.61	28.33	19.22	12.95	12.33	17.32	19.76
YBL001C	2019	622			1448				3.48	5.81	5.54	5.2	5.89	5.54	4.23
YGR063C	1409	770		1164	2344	1057		664	2.61	3.69	3.26	3.35	2.9	3	2.59
YDR328C		138	619		484	618	1059	1038	3.97	7.45	6.76	5.81	5.93	5.53	4.85
YPR052C	286				588	470			2.9	3.43	3.47	2.88	3.35	2.94	2.61
YIL053W	4792	4272	4256	3964	5816	2823	4333	4122	17.56	12.33	7.38	10.73	17.08	42.93	20.73
YEL034W	2475	1712	2909	2982	5272	2805	4552	4445	17.12	25.24	20.36	17.48	16.43	15.98	17.48
YHR021C		6113	2887			2827			52.46	47.61	35.09	29.31	30.34	39.21	36.08
YER146W		578	512		323				2.61	3.57	3.28	2.8	2.82	2.5	2.59
YNL135C	2575	3071	2914	2503	3471	2704	3676	3584	13.82	19.41	15.88	14.41	14.81	14.41	12.9
YPL211W		18		213				491	4.13	2.08	0.99	0.83	1.15	2.82	3.57
YDR454C	2609	2762	2051	2928	4306	3065	4090	4481	7.24	9.49	7.76	5.23	5.72	7.76	9.3
YDL110C		139			266	212			1.53	8.32	11.13	7.93	7.87	4.46	2.92
YLR179C	664	591	254	74	1192	539	522	642	3.32	4.83	4.26	4.35	4.26	5.28	5.51
YHR051W	170	171		25	316	172	475	368	3.23	6.72	5.46	3.92	3.94	3.03	2.93
YPL111W		65			123	206	420	620	1.73	2.24	2.3	1.78	1.42	0.78	1.92
YDR045C	230		96	57		256			3.33	2.96	2.52	2.09	2.4	3.77	2.9
YPL271W	1051	863	1279	1607	752	1467	1784	1569	4.11	8.1	6.09	4.95	4.28	3.78	3.43
YNL004W	116	70		139	234			82	1.26	1.26	1.01	1.14	1.23	1.23	1.31
YMR042W	62		336			38	335		0.59	0.28	0.28	0.55	0.43	0.62	
YGL187C	180			642	267	742	395	185	4.23	8.76	5.78	3.21	3.3	2.97	3.1
YLR271W	268	375			684	513			0.69	0.79	1.04	1	1.1	0.7	0.76
YNR046W	865	729	3882	1197	1050	610	996	478	1.75	1.19	0.79	0.81	1	1.42	1.59
YGR114C		873	1991	1380			1787		1.53	1.31	1.21	1.09	1.14	0.92	1.21
YIL051C	5864	4637	4396	4192	6070	4806	4774	5667	12.67	22.36	22.83	22.67	19.33	17.06	11.49
YPR062W			1168	664	1179	841	830		6.15	7.57	5.31	4.59	4.47	5.13	5.24
YDL055C	2095	2743	2230	2136	5927	3242	5201	4421	11.72	14.73	10.78	12.65	17.52	21.86	18.64
YMR303C	29				147	46	59		11.92	16.4	12.86	13.69	14.88	20.33	12.17
YFL014W			48	575	3950	4184	4275	5886	2.83	48.53	247.42	208.05	290.18	208.05	56.92
YLR167W	3190	2199	4976	3412	3680	1828	3063	2412	26.75	46.25	33.16	21.43	16.81	20.27	21.88
YLR074C		187			211				3.08	1.45	1.08	1.26	1.6	3.41	3.1
YEL026W	2558	2116	1006	5031	3320	3755	4362	6635	13.19	10.56	5.54	4.09	6.19	12.91	12.39
YGL106W		177			299	203			5.85	8.27	7.94	6.67	6.54	6.67	6.63
YLR038C	477	1232	675		1813	1219	1916	1375	4.99	8.88	7.62	5.21	4.66	4.26	4.35
YDR397C	324	533			838	358	598	366	1.77	1.54	1.36	1.4	1.18	1.84	1.85
YDR279W		40			35				0.58	0.42	0.39	0.32	0.45	0.49	0.61
YGR187C	34	8			33				1.74	0.63	1.74	0.49	0.65	0.94	1.39
YFL045C	4684	4351	3295	4134	5879	5146	3024	3884	8.54	11.51	8.31	7.28	9.03	14.36	16.5
YBR252W	156	66			33				3.34	3.18	2.23	2.07	2.2	3.5	3.8
YDR304C	7207	5721	8259	7014	5984	3392	5888	5038	5.81	9.77	9.77	9.91	9.84	9.18	6.91
YLR208W	412	440		157	619	511	507	571	3.75	4.43	4.25	3.86	4.85	5.57	4.25
YER159C	979	437		634	1016	677	1261	773	2.25	2.3	2.27	2.19	2.05	2.37	2.85
YJR069C	264	70	441		301	174	160	144	1.76	2.1	1.65	1.46	1.59	2.33	1.94
YHR029C	110				358	351	299	524	0.72	1.63	1.81	2.04	2.11	1.87	1.52
YOR136W	1840	1443	1777	1606	2025	1209	1626	1216	5.75	10.95	9.8	8.41	7.69	6.07	4.67
YEL003W		79			80				3.87	4.32	4.03	3.48	3.76	4.03	3.95
YDR308C	384	203	364	93	330				1.21	1.59	1.28	1.21	0.97	1.22	1.05
YOL067C	28	109			98		42		0.38	0.28	0.38	0.47	0.52	0.51	0.38
YML004C	56	82	218		134			35	2.81	5.71	8.3	9.4	9.8	7.63	4.57
YCR051W	1321	957	847	547	732	1347	729	773	1.83	2.11	1.44	1.61	1.7	2.81	2.9
YLR009W		202	361		246	104		94	3.27	1.22	0.72	0.79	1.11	2.36	2.33
YNL244C	246	302	842	111	285	492	592	919	11.7	13.82	12.03	8.39	10.92	15.66	11.62
YBR053C	7	42			38	42	11		1.28	3.24	4.07	4.98	4.98	3.43	2.15
YLR075W	33326	35644	37287	46616	39946	41350	40933	44369	64.25	109.56	81.33	54.03	53.28	64.7	61.63
